codigoPostal,ciudad,estadoNombreCorto
09820,Ciudad de México,Ciudad de México
09828,Ciudad de México,Ciudad de México
09829,Ciudad de México,Ciudad de México
09830,Ciudad de México,Ciudad de México
09837,Ciudad de México,Ciudad de México
09838,Ciudad de México,Ciudad de México
09839,Ciudad de México,Ciudad de México
09840,Ciudad de México,Ciudad de México
09849,Ciudad de México,Ciudad de México
09850,Ciudad de México,Ciudad de México
09856,Ciudad de México,Ciudad de México
09858,Ciudad de México,Ciudad de México
09859,Ciudad de México,Ciudad de México
09860,Ciudad de México,Ciudad de México
09868,Ciudad de México,Ciudad de México
09870,Ciudad de México,Ciudad de México
09880,Ciudad de México,Ciudad de México
09890,Ciudad de México,Ciudad de México
09897,Ciudad de México,Ciudad de México
09900,Ciudad de México,Ciudad de México
09910,Ciudad de México,Ciudad de México
09920,Ciudad de México,Ciudad de México
09930,Ciudad de México,Ciudad de México
09940,Ciudad de México,Ciudad de México
09960,Ciudad de México,Ciudad de México
09969,Ciudad de México,Ciudad de México
09970,Ciudad de México,Ciudad de México
10000,Ciudad de México,Ciudad de México
10010,Ciudad de México,Ciudad de México
10020,Ciudad de México,Ciudad de México
10130,Ciudad de México,Ciudad de México
10200,Ciudad de México,Ciudad de México
10300,Ciudad de México,Ciudad de México
10320,Ciudad de México,Ciudad de México
10330,Ciudad de México,Ciudad de México
10340,Ciudad de México,Ciudad de México
10350,Ciudad de México,Ciudad de México
10360,Ciudad de México,Ciudad de México
10368,Ciudad de México,Ciudad de México
10369,Ciudad de México,Ciudad de México
10370,Ciudad de México,Ciudad de México
10378,Ciudad de México,Ciudad de México
10379,Ciudad de México,Ciudad de México
10380,Ciudad de México,Ciudad de México
10400,Ciudad de México,Ciudad de México
10500,Ciudad de México,Ciudad de México
10580,Ciudad de México,Ciudad de México
10600,Ciudad de México,Ciudad de México
10610,Ciudad de México,Ciudad de México
10620,Ciudad de México,Ciudad de México
10630,,Ciudad de México
10640,Ciudad de México,Ciudad de México
10660,Ciudad de México,Ciudad de México
10700,Ciudad de México,Ciudad de México
10710,Ciudad de México,Ciudad de México
10800,Ciudad de México,Ciudad de México
10810,Ciudad de México,Ciudad de México
10820,Ciudad de México,Ciudad de México
10830,Ciudad de México,Ciudad de México
10840,Ciudad de México,Ciudad de México
10900,Ciudad de México,Ciudad de México
10910,Ciudad de México,Ciudad de México
10920,Ciudad de México,Ciudad de México
10926,Ciudad de México,Ciudad de México
11000,Ciudad de México,Ciudad de México
11040,Ciudad de México,Ciudad de México
11100,Ciudad de México,Ciudad de México
11200,Ciudad de México,Ciudad de México
11210,Ciudad de México,Ciudad de México
11220,Ciudad de México,Ciudad de México
11230,Ciudad de México,Ciudad de México
11240,Ciudad de México,Ciudad de México
